Province/State;Country/Region;Lat;Long;Date;Confirmed;Deaths;Recovered
;Thailand;15;101;22/01/2020;2;0;0
;Japan;36;138;22/01/2020;2;0;0
;Singapore;1.2833;103.8333;22/01/2020;0;0;0
;Nepal;28.1667;84.25;22/01/2020;0;0;0
;Malaysia;2.5;112.5;22/01/2020;0;0;0
British Columbia;Canada;49.2827;-123.1207;22/01/2020;0;0;0
New South Wales;Australia;-33.8688;151.2093;22/01/2020;0;0;0
Victoria;Australia;-37.8136;144.9631;22/01/2020;0;0;0
Queensland;Australia;-28.0167;153.4;22/01/2020;0;0;0
;Cambodia;11.55;104.9167;22/01/2020;0;0;0
;Sri Lanka;7;81;22/01/2020;0;0;0
;Germany;51;9;22/01/2020;0;0;0
;Finland;64;26;22/01/2020;0;0;0
;United Arab Emirates;24;54;22/01/2020;0;0;0
;Philippines;13;122;22/01/2020;0;0;0
;India;21;78;22/01/2020;0;0;0
;Italy;43;12;22/01/2020;0;0;0
;Sweden;63;16;22/01/2020;0;0;0
;Spain;40;-4;22/01/2020;0;0;0
South Australia;Australia;-34.9285;138.6007;22/01/2020;0;0;0
;Belgium;50.8333;4;22/01/2020;0;0;0
;Egypt;26;30;22/01/2020;0;0;0
From Diamond Princess;Australia;35.4437;139.638;22/01/2020;0;0;0
;Lebanon;33.8547;35.8623;22/01/2020;0;0;0
;Iraq;33;44;22/01/2020;0;0;0
;Oman;21;57;22/01/2020;0;0;0
;;;;;;;
;Bahrain;26.0275;50.55;22/01/2020;0;0;0
;Kuwait;29.5;47.75;22/01/2020;0;0;0
;Algeria;28.0339;1.6596;22/01/2020;0;0;0
;Croatia;45.1;15.2;22/01/2020;0;0;0
;Switzerland;46.8182;8.2275;22/01/2020;0;0;0
;Austria;47.5162;14.5501;22/01/2020;0;0;0
;Israel;31;35;22/01/2020;0;0;0
;Pakistan;30.3753;69.3451;22/01/2020;0;0;0
;Brazil;-14.235;-51.9253;22/01/2020;0;0;0
;Georgia;42.3154;43.3569;22/01/2020;0;0;0
;Greece;39.0742;21.8243;22/01/2020;0;0;0
;North Macedonia;41.6086;21.7453;22/01/2020;0;0;0
;Norway;60.472;8.4689;22/01/2020;0;0;0
;Romania;45.9432;24.9668;22/01/2020;0;0;0
;Estonia;58.5953;25.0136;22/01/2020;0;0;0
;Netherlands;52.1326;5.2913;22/01/2020;0;0;0
;San Marino;43.9424;12.4578;22/01/2020;0;0;0
;Belarus;53.7098;27.9534;22/01/2020;0;0;0
;Iceland;64.9631;-19.0208;22/01/2020;0;0;0
;;;;;;;
;Mexico;23.6345;-102.5528;22/01/2020;0;0;0
;New Zealand;-40.9006;174.886;22/01/2020;0;0;0
;Nigeria;9.082;8.6753;22/01/2020;0;0;0
Western Australia;Australia;-31.9505;115.8605;22/01/2020;0;0;0
;Ireland;53.1424;-7.6921;22/01/2020;0;0;0
;Luxembourg;49.8153;6.1296;22/01/2020;0;0;0
;Monaco;43.7333;7.4167;22/01/2020;0;0;0
;Qatar;25.3548;51.1839;22/01/2020;0;0;0
;Ecuador;-1.8312;-78.1834;22/01/2020;0;0;0
;Azerbaijan;40.1431;47.5769;22/01/2020;0;0;0
;Armenia;40.0691;45.0382;22/01/2020;0;0;0
;Dominican Republic;18.7357;-70.1627;22/01/2020;0;0;0
;Indonesia;-0.7893;113.9213;22/01/2020;0;0;0
;Portugal;39.3999;-8.2245;22/01/2020;0;0;0
;Andorra;42.5063;1.5218;22/01/2020;0;0;0
Tasmania;Australia;-41.4545;145.9707;22/01/2020;0;0;0
;Latvia;56.8796;24.6032;22/01/2020;0;0;0
;Morocco;31.7917;-7.0926;22/01/2020;0;0;0
;Saudi Arabia;24;45;22/01/2020;0;0;0
;Senegal;14.4974;-14.4524;22/01/2020;0;0;0
;Argentina;-38.4161;-63.6167;22/01/2020;0;0;0
;Chile;-35.6751;-71.543;22/01/2020;0;0;0
;Jordan;31.24;36.51;22/01/2020;0;0;0
;Ukraine;48.3794;31.1656;22/01/2020;0;0;0
;Hungary;47.1625;19.5033;22/01/2020;0;0;0
Northern Territory;Australia;-12.4634;130.8456;22/01/2020;0;0;0
;;;;;;;
;Poland;51.9194;19.1451;22/01/2020;0;0;0
;Tunisia;34;9;22/01/2020;0;0;0
;Bosnia and Herzegovina;43.9159;17.6791;22/01/2020;0;0;0
;Slovenia;46.1512;14.9955;22/01/2020;0;0;0
;South Africa;-30.5595;22.9375;22/01/2020;0;0;0
;Bhutan;27.5142;90.4336;22/01/2020;0;0;0
;Cameroon;3.848;11.5021;22/01/2020;0;0;0
;Colombia;4.5709;-74.2973;22/01/2020;0;0;0
;Costa Rica;9.7489;-83.7534;22/01/2020;0;0;0
;Peru;-9.19;-75.0152;22/01/2020;0;0;0
;Serbia;44.0165;21.0059;22/01/2020;0;0;0
;Slovakia;48.669;19.699;22/01/2020;0;0;0
;Togo;8.6195;0.8248;22/01/2020;0;0;0
;Malta;35.9375;14.3754;22/01/2020;0;0;0
;Martinique;14.6415;-61.0242;22/01/2020;0;0;0
;Bulgaria;42.7339;25.4858;22/01/2020;0;0;0
;Maldives;3.2028;73.2207;22/01/2020;0;0;0
;Bangladesh;23.685;90.3563;22/01/2020;0;0;0
;Paraguay;-23.4425;-58.4438;22/01/2020;0;0;0
Ontario;Canada;51.2538;-85.3232;22/01/2020;0;0;0
Alberta;Canada;53.9333;-116.5765;22/01/2020;0;0;0
Quebec;Canada;52.9399;-73.5491;22/01/2020;0;0;0
;Albania;41.1533;20.1683;22/01/2020;0;0;0
;Cyprus;35.1264;33.4299;22/01/2020;0;0;0
;Brunei;4.5353;114.7277;22/01/2020;0;0;0
Washington;US;47.4009;-121.4905;22/01/2020;0;0;0
New York;US;42.1657;-74.9481;22/01/2020;0;0;0
California;US;36.1162;-119.6816;22/01/2020;0;0;0
Massachusetts;US;42.2302;-71.5301;22/01/2020;0;0;0
Diamond Princess;US;35.4437;139.638;22/01/2020;0;0;0
Grand Princess;US;37.6489;-122.6655;22/01/2020;0;0;0
Georgia;US;33.0406;-83.6431;22/01/2020;0;0;0
Colorado;US;39.0598;-105.3111;22/01/2020;0;0;0
Florida;US;27.7663;-81.6868;22/01/2020;0;0;0
New Jersey;US;40.2989;-74.521;22/01/2020;0;0;0
Oregon;US;44.572;-122.0709;22/01/2020;0;0;0
Texas;US;31.0545;-97.5635;22/01/2020;0;0;0
Illinois;US;40.3495;-88.9861;22/01/2020;0;0;0
Pennsylvania;US;40.5908;-77.2098;22/01/2020;0;0;0
Iowa;US;42.0115;-93.2105;22/01/2020;0;0;0
Maryland;US;39.0639;-76.8021;22/01/2020;0;0;0
North Carolina;US;35.6301;-79.8064;22/01/2020;0;0;0
South Carolina;US;33.8569;-80.945;22/01/2020;0;0;0
Tennessee;US;35.7478;-86.6923;22/01/2020;0;0;0
Virginia;US;37.7693;-78.17;22/01/2020;0;0;0
Arizona;US;33.7298;-111.4312;22/01/2020;0;0;0
Indiana;US;39.8494;-86.2583;22/01/2020;0;0;0
Kentucky;US;37.6681;-84.6701;22/01/2020;0;0;0
District of Columbia;US;38.8974;-77.0268;22/01/2020;0;0;0
Nevada;US;38.3135;-117.0554;22/01/2020;0;0;0
New Hampshire;US;43.4525;-71.5639;22/01/2020;0;0;0
Minnesota;US;45.6945;-93.9002;22/01/2020;0;0;0
Nebraska;US;41.1254;-98.2681;22/01/2020;0;0;0
Ohio;US;40.3888;-82.7649;22/01/2020;0;0;0
Rhode Island;US;41.6809;-71.5118;22/01/2020;0;0;0
